year,fips,rep_votes,dem_votes,acs_vintage,total_pop,hispanic,edu_total_25plus,hs_or_less
2012,13227,10547,1975,2012,29445,832,20802,10956
2012,13229,5667,1124,2012,18631,872,12260,7749
2012,13231,6668,1356,2012,17765,199,11672,6079
2012,13233,9811,3615,2012,41350,4941,26565,17347
2012,13235,2444,1219,2012,11801,587,8860,6223
2012,13237,6215,2926,2012,21184,1319,15143,8106
2012,13239,510,612,2012,2542,0,1638,1156
2012,13241,5754,1559,2012,16297,1275,11830,5693
2012,13243,1271,1770,2012,7596,36,5216,3353
2012,13245,25845,52560,2012,200337,8322,125932,60812
2012,13247,15716,22023,2012,85008,8121,54547,23043
2012,13249,1286,448,2012,4963,311,3096,1902
2012,13251,3287,2774,2012,14574,100,9575,6321
2012,13253,2245,1478,2012,8815,228,6008,3428
2012,13255,14911,9898,2012,63979,2480,42035,25376
2012,13257,7221,2131,2012,26003,645,17376,10714
2012,13259,745,1323,2012,5991,576,4296,3179
2012,13261,5378,6375,2012,32425,1709,19949,11428
2012,13263,1202,2265,2012,6772,24,4842,3142
2012,13265,323,636,2012,1674,29,1168,851
2012,13267,4706,1897,2012,25023,2554,16987,11532
2012,13269,1948,1572,2012,8700,165,5964,3827
2012,13271,2480,1805,2012,16312,2049,11801,8553
2012,13273,1834,2544,2012,9365,165,6078,4283
2012,13275,11156,7653,2012,44715,1327,29853,16592
2012,13277,9185,4660,2012,40430,4117,25002,13569
2012,13279,6524,2746,2012,27270,3076,17187,10249
2012,13281,4876,1273,2012,10491,208,7780,4102
2012,13283,1652,1074,2012,6851,36,4365,3284
2012,13285,15179,10547,2012,67146,2195,42726,23060
2012,13287,2028,1510,2012,8834,310,5702,3461
2012,13289,1907,2270,2012,8984,76,6196,4412
2012,13291,8773,2139,2012,21344,525,16307,7733
2012,13293,7230,3959,2012,27061,606,18127,10945
2012,13295,16247,5274,2012,68463,1125,46912,27276
2012,13297,29036,8148,2012,83771,2826,54724,27447
2012,13299,7941,3900,2012,36099,1218,24026,14676
2012,13301,990,1529,2012,5788,2,4084,2951
2012,13303,4035,4714,2012,21092,407,14158,9389
2012,13305,7557,2596,2012,30157,1747,20188,12143
2012,13307,601,582,2012,2773,39,2017,1367
2012,13309,1366,772,2012,7572,68,5710,4587
