model,delta,tau_loglik_loss,objective,attained_value,g01,g12,sum,loglik,fixed_reference_loglik,actual_maximum_drift,weighted_average_drift,minimum_middle_state_mass,minimum_parameter,near_boundary_count,status,global_certificate
hmm3,0,10.0,sum_min,0.05670875816465138,0.038700299007576745,0.018008459157074636,0.05670875816465138,-10312.971134250762,-10303.05290322578,0.0,0.0,0.15049722379959207,0.0,2,locally_searched_attained_extreme,False
hmm3,0,10.0,sum_max,0.0922713433846665,0.05779777588761213,0.03447356749705436,0.0922713433846665,-10313.026976198464,-10303.05290322578,0.0,0.0,0.15950638218999375,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.01,2.0,g01_min,0.045700299007576745,0.045700299007576745,0.02151444986850857,0.0672147488760853,-10304.990763497775,-10303.05290322578,0.0,0.0,0.15316389046625875,0.00021400413093293838,0,locally_searched_attained_extreme,False
hmm3,0.01,2.0,g01_max,0.05479777588761213,0.05479777588761213,0.02638332575732556,0.08118110164493769,-10304.938979973256,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.01,2.0,g12_min,0.01921786522673167,0.05070029900757674,0.01921786522673167,0.06991816423430841,-10304.97786565696,-10303.05290322578,0.0,0.0,0.15316389046625875,0.0,1,locally_searched_attained_extreme,False
hmm3,0.01,2.0,g12_max,0.0272712933895767,0.05379777588761213,0.0272712933895767,0.08106906927718882,-10304.92484487495,-10303.05290322578,0.0,0.0,0.15650638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.01,2.0,sum_min,0.0672147488760853,0.045700299007576745,0.02151444986850857,0.0672147488760853,-10304.990763497775,-10303.05290322578,0.0,0.0,0.15316389046625875,0.00021400413093293838,0,locally_searched_attained_extreme,False
hmm3,0.01,2.0,sum_max,0.0819124149591531,0.05479777588761213,0.027114639071540964,0.0819124149591531,-10305.035013652327,-10303.05290322578,0.0,0.0,0.15650638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.01,10.0,g01_min,0.038700299007576745,0.038700299007576745,0.018008459157074636,0.05670875816465138,-10312.971134250762,-10303.05290322578,0.0,0.0,0.15049722379959207,0.0,2,locally_searched_attained_extreme,False
hmm3,0.01,10.0,g01_max,0.060797775887612135,0.060797775887612135,0.030005203350239793,0.09080297923785192,-10312.623378459135,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.01,10.0,g12_min,0.016739900419451,0.045700299007576745,0.016739900419451,0.06244019942702775,-10312.827411137634,-10303.05290322578,0.0,0.0,0.14549722379959204,0.0,2,locally_searched_attained_extreme,False
hmm3,0.01,10.0,g12_max,0.03463322181509009,0.05679777588761214,0.03463322181509009,0.09143099770270223,-10312.471880128662,-10303.05290322578,0.0,0.0,0.15950638218999375,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.01,10.0,sum_min,0.056558260940851784,0.038700299007576745,0.01785796193327504,0.056558260940851784,-10313.020621638172,-10303.05290322578,0.0,0.0,0.15049722379959207,0.0,2,locally_searched_attained_extreme,False
hmm3,0.01,10.0,sum_max,0.0922713433846665,0.05779777588761213,0.03447356749705436,0.0922713433846665,-10313.026976198464,-10303.05290322578,0.0,0.0,0.15950638218999375,0.0009798564246221138,0,locally_searched_attained_extreme,False
hmm3,0.025,2.0,g01_min,0.031089513736590434,0.031089513736590434,0.01756723563902454,0.04865674937561497,-10304.756425688956,-10303.05290322578,0.025000000000000022,0.01717913889933008,0.1520616513133963,0.0,3,locally_searched_attained_extreme,False
hmm3,0.025,2.0,g01_max,0.05479777588761213,0.05479777588761213,0.02638332575732556,0.08118110164493769,-10304.938979973256,-10303.05290322578,0.0,0.0,0.15550638218999374,0.0009798564246221138,0,locally_searched_attained_extreme,False
